link,name,price,condition,explanation,source,original_title,preprocessed_title,brand,model_line,model_number,variant,ram,capacity,color
https://buyee.jp/mercari/item/m56161844359,Apple iPhone 6s Plus 64GB ゴールド,"6,900 yen",No obvious damages/dirt,Apple iPhone 6s Plus 64GB ゴールド シリーズ:iPhone 機種名:iPhone 6s Plus カラー:Gold 容量:64 GB 購入したキャリア:docomo 付属品:なし 商品の状態:傷や汚れあり　画面割れはありません その他:画面保護フィルムあり バッテリー最大容量···79%以下 スマートフォン カラー···ゴールド 容量···64GB,mercari,Apple iPhone 6s Plus 64GB ゴールド,Apple iPhone 6s Plus 64GB,Apple,iPhone,6,Plus,,64GB,
https://buyee.jp/mercari/item/m75379525148,iPhone13 128GB スターライト SIMフリー ガラスフィルム付き,"40,000 yen",No obvious damages/dirt,iPhone13 128GB スターライト SIMフリー ガラスフィルム付き hone 13 スターライト 128GB バッテリー最大容量74% SIMフリー 充電ケーブル無し 購入後常にフィルム、ケースをして使用していた為綺麗な状態だと思います。 写真の追加、質問等ございましたらお気軽にお声かげ下さい☺︎ 高価なお取引の為購入前にメッセージ頂けますと幸いです。 値下げ✖️ 付属品···箱 バッテリー最大容量···79%以下 画面割れ···なし 機能不良···なし スマートフォン カラー···スターライト 容量···128GB,mercari,iPhone13 128GB スターライト SIMフリー ガラスフィルム付き,iPhone13 128GB SIM,Apple,iPhone,13,,,128GB,
https://buyee.jp/mercari/item/m11865179023,【訳あり】iPhone 7 シルバー 128GB,"8,000 yen",A little damaged/dirty,【訳あり】iPhone 7 シルバー 128GB 4.7インチのiPhone 7、シルバー、透明ケース付き。 - モデル: iPhone 7 - 色: シルバー - 状態: 透明ケース付き - 画面サイズ: 4.7インチ - 背面素材: アルミニウム ご覧いただきありがとうございます。 シリーズ···iPhone 機種名···iPhone 7 スマートフォン カラー···シルバー 容量···128GB 訳あり理由 画面の修復歴あり（純正中古品）、フリマで購入したので詳細は不明ですが、タッチIDは使えました。 その他、全ての機能は試していませんが、通常の使用は問題ないようですが、ジャンク扱いとして下さい。気になる方はご遠慮下さい。 クレーム、返品は一切お断りします。 全体的には比較的きれいだと思います。 背面に擦れた傷があります。 画面割れはありません。 バッテリー容量71% Simロック解除済み 付属品なし アクティベーション解除、初期化にてカバーと画面フィルム付きのまま発送します。,mercari,【訳あり】iPhone 7 シルバー 128GB,iPhone 7 128GB,Apple,iPhone,7,,,128GB,
https://buyee.jp/mercari/item/m25003343160,ジャンク品 Iphone 11 256gb,"18,500 yen",A little damaged/dirty,ジャンク品 Iphone 11 256gb シリーズ···iPhone 機種名···iPhone 11 スマートフォン カラー···レッド 容量···256GB 画面に小さな黒い縞が表示されますが、機能は正常に動作し続けます。 電池を交換しました 使用に伴い商品本体に多少のダメージがございます。(すべての写真を見る) 取引中のトラブルを避けるため、返品や返金はお受けしておりません。,mercari,ジャンク品 Iphone 11 256gb,iPhone 11 256gb,Apple,iPhone,11,,,256GB,
https://buyee.jp/mercari/item/m59766702999,Samsung Galaxy A56 5G 8GB/256GB 新品未開封,"57,999 yen",New/Unused,Samsung Galaxy A56 5G 8GB/256GB 新品未開封 ご覧いただきありがとうございます。 商品説明、プロフィールをご覧の上ご購入お願いします！ 最終値下げ 新品未開封 シュリンク付き Galaxy A56 5G ブラックです。 新品の画面保護フィルム1枚とクリアケース、20wのtype-c充電器をお付けします。 2025.10正規代理店 一括購入で残債なし 購入後24時間以内に発送いたします。 気になることがございましたら購入前にコメントください。 グローバル版で日本語設定、GooglePlayStoreでのアプリダウンロードなど全て対応しております。 もちろん海外simもお使いいただけます。 デュアルSIMに対応しているため、2社の回線を同時にご利用いただけます。 大手通信のau.softbank.docomoはもちろん、楽天モバイルや格安SIM、全ての通信会社のSIMがご利用いただけます。 また、6回のOSアップデートが保証されており、長期間にわたって安心してご利用いただけます。 IP67防水防塵対応で、水回りでの使用や雨の日でも安心してご利用いただけます。 購入後の設定など分からないところありましたら、私のわかる範囲でサポートいたします。 【スペック】 CPU：Exynos 1580 メモリ：8GB ストレージ：256GB バッテリー：5000mAh AI：Awesome Intelligence 色: ブラック(Awesome Graphite) 製造国: Vietnam 【ディスプレイ】 6.7インチ Super AMOLED 解像度︰2340×1080 19.5:9 FHD+ リフレッシュレート︰120Hz Gorilla Glass Victus+ 【カメラ】 広角︰5000万画素 望遠︰1200万画素 マクロ︰500万画素 フロント︰1200万画素 バッテリー最大容量···100% IMEI (製造番号)···358539851531454 画面割れ···なし 機能不良···なし,mercari,Samsung Galaxy A56 5G 8GB/256GB 新品未開封,Samsung Galaxy A56 5G 8GB/256GB,Samsung,Galaxy,A56,,8GB,256GB,
https://buyee.jp/mercari/item/m79894949159,Apple iPhone11 128GB PRODUCT(RRD)SIMフリー,"23,000 yen",No obvious damages/dirt,Apple iPhone11 128GB PRODUCT(RRD)SIMフリー 128GBのストレージを持つPRODUCT(RED)のiPhone 11  付属品イヤホン - モデル: iPhone11 - ストレージ: 128GB - 色: PRODUCT(RED) - 付属品: イヤフォン、ケーブル、箱 購入後、ガラスフィルム、ケース使用。 バッテリー最大容量74% 購入したキャリア···Softbank ご覧頂きありがとうございます。 詳細は出品写真よりご確認下さい。,mercari,Apple iPhone11 128GB PRODUCT(RRD)SIMフリー,Apple iPhone11 128GB PRODUCT(RRD)SIM,Apple,iPhone,11,,,128GB,
https://buyee.jp/mercari/item/m25097892119,Apple iPhone 12 ホワイト 本体 充電ケーブル付き,"24,500 yen",No obvious damages/dirt,Apple iPhone 12 ホワイト 本体 充電ケーブル付き iPhone12 元箱、充電ケーブル付(未使用) 機種名···iPhone 12 カラー···ホワイト 容量···128GB バッテリー容量…77% IMEI…35 404764 008740 2 SIMロックなし アクティベーションロック解除済み 初期化済み 写真ほどは目立ちませんが画面上部に小傷がありますので、2枚目の写真をご確認ください。ほぼ分からない程度ですが気になる方はご遠慮下さい。 機種名···iPhone 12 スマートフォン カラー···ホワイト 容量···128GB,mercari,Apple iPhone 12 ホワイト 本体 充電ケーブル付き,Apple iPhone 12,Apple,iPhone,12,,,,
https://buyee.jp/mercari/item/m71185463270,iPhone 12 mini 128GB PRODUCT(RED)本体のみ,"17,000 yen",Damaged/dirty,iPhone 12 mini 128GB PRODUCT(RED)本体のみ iPhone 12 mini、128GB、PRODUCT(RED)カラー。 - モデル: iPhone 12 mini - ストレージ容量: 128GB - 色: PRODUCT(RED) ジャンク品扱い 理由＝画面が少し浮いている ＝ネットワーク利用制限登録がない！ 「しかしちゃんと使えております」 ＝Face IDが使えません 以下のジャンク理由です ご覧いただきありがとうございます。 シリーズ···iPhone 機種名···iPhone 12 mini スマートフォン カラー···レッド 容量···128GB,mercari,iPhone 12 mini 128GB PRODUCT(RED)本体のみ,iPhone 12 mini 128GB PRODUCT(RED),Apple,iPhone,12,mini,,128GB,Red
https://buyee.jp/mercari/item/m66675024034,Apple iPhone 13 ProMax 256GB Sierra Blue,"68,000 yen",No obvious damages/dirt,"Apple iPhone 13 ProMax 256GB Sierra Blue ご覧いただきありがとうございます。 iphone 13 Pro Max 256GB カラーはシエラブルー バッテリー容量は、82%でした。 カバー及びガラスフィルムを使用し利用していました。 本体右上の背面側に僅かですが傷があります。 お値引き交渉はお受けいたしませんので、コメントに記載されても対応できかねます。 また、10月末までの限定出品となります。 期間満了後、出品を取り下げいたします。 Sierra BlueのiPhone 13 Pro Max、256GBストレージ、充電ケーブル付属。 - モデル名: iPhone 13 Pro Max - カラー: Sierra Blue - ストレージ: 256GB - 付属品: 充電ケーブル、SIMピン シリーズ···iPhone 機種名···iPhone 13 Pro Max スマートフォン カラー···シエラブルー 容量···256GB バッテリー最大容量···80～84％ 画面割れ···なし 機能不良···なし 付属品···充電ケーブル,箱 購入したキャリア···SIMフリー",mercari,Apple iPhone 13 ProMax 256GB Sierra Blue,Apple iPhone 13 ProMax 256GB Sierra Blue,Apple,iPhone,13,,,256GB,Blue
https://buyee.jp/mercari/item/m16689375014,iPhone SE3 第3世代 128GB スターライトApple iphone,"43,400 yen",No obvious damages/dirt,iPhone SE3 第3世代 128GB スターライトApple iphone iphoneSE3（第3世代）　128GB simフリー apple Apple 美品　【あんしんデータ消去】 他にも多数出品しています！ぜひご覧ください★ #iPhone・iPad本体等：出品者良品マーケット シリーズ···iPhone 機種名···iPhone SE (第3世代) スマートフォンカラー···スターライト 容量···128GB 画面割れ···なし 機能不良···なし バッテリー残量83%（お写真3枚目参照、出品前の最終確認、【あんしんデータ消去】作業により82%になることもあり得ますので、予めご了承頂ける方のみご購入ください。） ネットワーク利用制限なし SIMロック 解除済み iPhoneを探す オフ アクティベーションロック 解除済み 付属品　お写真1枚目の通り揃っています。 ※お値引き不可の売り切り価格です。 購入後直ぐに、ガラスフィルムと手帳型カバーケースを装着して非常に大切に使用しておりました。 目視する限り、画面割れや傷等はなくきれいな状態だと思いますが、見落としの傷等がある場合もありますので、状態を【目立った傷や汚れなし】にしています。 ガラスフィルムは、特に取り外し等のご希望がなければ、装着した状態で送付させて頂きます。 ガラスフィルムも目視ではきれいな状態ですが使用感はあるとは思いますので、あくまでもサービス品としてお考えください。 simピン等の付属品や箱は、お写真2枚目のとおり揃っていますので、ご購入者様が将来買取ショップに持ち込まれる時も付属品や箱がないことによる査定金額の減額もありませんので、その点もご安心してご購入頂けると思います。 出品にあたり正常に動作することを確認しておりますが、発送直前に再度の動作確認を行います。 出品者の費用負担により、メルカリの【あんしんデータ消去】を利用して、専門業者による初期化、データ消去等の確認も行いますので、安心してご購入頂けると思います。 【クロネコヤマト営業所まで持ち込み、らくらくメルカリ便で発送します。梱包から持ち込み発送まで全ての過程を動画撮影して発送します。】 【フリマアプリ対応の弁護士費用保険に加入しています。丁寧◦誠実にお取引を行いますので安心してお取引ください。詐欺等の悪質な行為に対しては、民事•刑事について弁護士対応を依頼します。】,mercari,iPhone SE3 第3世代 128GB スターライトApple iphone,iPhone SE3 3 128GB Apple iPhone,Apple,iPhone,SE,,,128GB,
https://buyee.jp/mercari/item/m56844866158,໒꒱i Phone SE3 128GB simフリー,"33,333 yen",No obvious damages/dirt,"໒꒱i Phone SE3 128GB simフリー ୨୧┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈୨୧ iPhone SE (第3世代)のPRODUCT(RED)モデル、バッテリー最大容量81% - モデル: iPhone SE (第3世代) - 色: PRODUCT(RED) - 容量:128GB - 付属品: - バッテリー最大容量: 81% - 状態: 良好 ケース&ガラスフィルムを着用していました 本体に通常使用による 細かいキズは有りますが 大きなキズはありません(写真添付) カメラ機能にも問題はありません 機種変更したためこちらを出品いたしますꕤ︎︎·͜· 中古品であることにご理解をいただける方の ご購入をお待ちしておりますꕤ︎︎·͜· ︎︎ 容量···128GB 購入したキャリア···SIMフリー 付属品···説明書,箱 Appleシール,SiMピン バッテリー最大容量···80～84％ 画面割れ···なし 機能不良···なし #iPhonese #第3世代 #128gb",mercari,໒꒱i Phone SE3 128GB simフリー,໒ i Phone SE3 128GB sim,,,,,,128GB,
https://buyee.jp/mercari/item/m28262916942,iPhoneSE 第2世代 128GB レッド SIMフリー,"11,500 yen",No obvious damages/dirt,iPhoneSE 第2世代 128GB レッド SIMフリー iPhoneSE 第2世代 128 レッドSIMフリー 状態は画面に細かい傷があります。バッテリーに修理表記が出ておりますのでジャンク品として出品いたします。あくまでも中古品ですのでご理解いただける方のみご購入よろしくお願いします。 最大容量76% シリーズ···iPhone 容量···128GB 機種名···iPhone SE 第2世代 (SE2) スマートフォン カラー···レッド バッテリー最大容量···79%以下,mercari,iPhoneSE 第2世代 128GB レッド SIMフリー,iPhoneSE 2 128GB SIM,Apple,iPhone,SE,,,128GB,
https://buyee.jp/mercari/item/m89633819966,スマホ Apple iPhone Xs シルバー 本体,"14,000 yen",A little damaged/dirty,スマホ Apple iPhone Xs シルバー 本体 iPhone Xs シルバー 256GB、バッテリー78％ 画面の角(左下)に欠けがありますが、操作等に問題はありません。普通に使えますが、バッテリーの減りが早いです。 画面の傷は保護フィルム上のもので、 フィルムについては購入者様で交換をお願いいたします。 動作確認済みで、初期化済みです。 中古品のためご理解のある方のご購入をお願いいたします。 かなり値下げしております。 ご覧いただきありがとうございます。 画面割れ···あり 機能不良···なし,mercari,スマホ Apple iPhone Xs シルバー 本体,Apple iPhone Xs,Apple,iPhone,Xs,,,,
https://buyee.jp/mercari/item/m92422266291,美品！iPhone13Pro 256GB アルパイングリーン➕液晶フィルム付,"65,600 yen",No obvious damages/dirt,美品！iPhone13Pro 256GB アルパイングリーン➕液晶フィルム付 見て頂きありがとうございます！ こちらの商品は、iPhone 13 Pro アルパイングリーン 256GB 中古となります。 iPhoneを新規で購入したため出品します！ 特に不具合や気になる傷もなく美品だと思います！ ライトニング差口に多少の小傷があります、写真をご確認下さい。 あくまでも中古品となりますので神経質な方はご遠慮下さい。 ※値下げ不可 ※現在付けている液晶フィルムとカメラフィルムを付けた状態の発送となります ※添付写真は液晶フィルムとカメラフィルムは付けないで撮影してます /詳細は添付画をご確認下さい /付属品···箱、SIMピン、説明書、液晶フィルム枚、カメラフィルム1枚,mercari,美品！iPhone13Pro 256GB アルパイングリーン➕液晶フィルム付,!iPhone13Pro 256GB,Apple,iPhone,13,,,256GB,
https://buyee.jp/mercari/item/m69695650188,Apple iPhone 13 Pro MAX,"70,000 yen",No obvious damages/dirt,"Apple iPhone 13 Pro MAX バッテリーはApple storeで交換しました、今まで最大容量94%です。 画面はLCD画面を交換しました 他の機能は問題ないです！ 本体は少し小さい傷があります、写真でご確認ください。 中古品なので、ご理解いただける方はご購入どうぞ。 返品不可です。 ご覧いただきありがとうございます。 シリーズ···iPhone 機種名···iPhone 13 Pro Max スマートフォン カラー···アルパイングリーン 容量···128GB 付属品···説明書,箱 バッテリー最大容量···90~94% 画面割れ···なし 機能不良···なし シリーズ···iPhone 機種名···iPhone 13 Pro Max スマートフォン カラー···アルパイングリーン 容量···128GB 、画面の下の方に点と明るくなっているところあり",mercari,Apple iPhone 13 Pro MAX,Apple iPhone 13 Pro MAX,Apple,iPhone,13,Pro Max,,,
https://buyee.jp/mercari/item/m85597462577,Apple iPhone 12 青,"24,000 yen",No obvious damages/dirt,Apple iPhone 12 青 Apple iPhone 12の青色モデル、デュアルカメラ搭載で高性能。 - ブランド: Apple - モデル名: iPhone 12 - 色: 青 - カメラ: デュアルカメラ ご覧いただきありがとうございます。 写真のように傷が少しあります。 箱もついてます。 バッテリー最大容量87% シリーズ···iPhone 機種名···iPhone 12 カラー···ブルー 容量···64GB,mercari,Apple iPhone 12 青,Apple iPhone 12,Apple,iPhone,12,,,,
https://buyee.jp/mercari/item/m83685851945,iPhone 12 Pro SIMフリー 128GB ジャンク,"32,000 yen",In bad condition overall,iPhone 12 Pro SIMフリー 128GB ジャンク 値下げ不可 本体のみ、背面割れあり、修理歴無し 一通り動作確認した限りでは不具合はありませんでした SIM読み取りは問題ありませんが浴室で使用することもあった為か水没マークが赤くなっている点と細かい動作確認ができていない為ジャンク品として出品します、返品の際は購入者の送料負担でお願いします IMEI 356686115998540 SIMフリー ゆうパケットポストでの発送になります,mercari,iPhone 12 Pro SIMフリー 128GB ジャンク,iPhone 12 Pro SIM 128GB,Apple,iPhone,12,Pro,,128GB,
https://buyee.jp/mercari/item/m21062113172,Apple iPhone XR オレンジ 128GB,"16,000 yen",A little damaged/dirty,Apple iPhone XR オレンジ 128GB オレンジのiPhone XR、バッテリー最大容量80%。 - モデル: iPhone XR - 色: オレンジ - バッテリー最大容量: 80% ご覧いただきありがとうございます。 購入したキャリア···Softbank バッテリー最大容量···80～84％ 画面割れ···なし 機能不良···なし シリーズ···iPhone 機種名···iPhone XR スマートフォン カラー···コーラル 容量···128GB,mercari,Apple iPhone XR オレンジ 128GB,Apple iPhone XR 128GB,Apple,iPhone,XR,,,128GB,
https://buyee.jp/mercari/item/m79673106182,iPhone13 ブラック　256GB SIMフリー,"46,666 yen",No obvious damages/dirt,iPhone13 ブラック　256GB SIMフリー Apple iPhone 13、6.1インチのブラックモデル。 - ブランド: Apple - モデル: iPhone 13 - カラー: ブラック - 画面サイズ: 6.1インチ - SIMフリー - バッテリー残量:74% - カラー:ミッドナイト 容量···256GB 細かな傷ございます。割れはなしです。 全て写真の通りです。 動作やカメラ等全く問題ございません。 発送する際は初期化してお送りさせていただきます。 新しいiPhoneを購入したので、手放すことにしました。 ぜひご検討よろしくお願いします✽,mercari,iPhone13 ブラック　256GB SIMフリー,iPhone13 256GB SIM,Apple,iPhone,13,,,256GB,
https://buyee.jp/mercari/item/m41451069057,【simフリー】 iPhone 15 pro 128GB,"120,000 yen",No obvious damages/dirt,【simフリー】 iPhone 15 pro 128GB 2年前に購入し、ケースと保護フィルムを付けて使用していたため、傷はほとんどありません。 ※側面に取れないケースのシミが少しあります。 付属品は使用しておらず全て揃っています。 おまけで未使用のレンズフィルム2枚をお付けします。 初期化し、ガラスフィルムは剥がして発送します。 端末は一括購入しており、残債はありません。 付属品 typecケーブル/simピン/レンズフィルム バッテリー容量 87%(2025/10/27時点) シリーズ···iPhone 機種名···iPhone 15 Pro スマートフォン カラー···ブルーチタニウム 容量···128GB,mercari,【simフリー】 iPhone 15 pro 128GB,sim iPhone 15 pro 128GB,Apple,iPhone,15,Pro,,128GB,
https://buyee.jp/mercari/item/m67136307395,iPhone 12Pro グラファイト 256GB 傷あり 中古品,"35,000 yen",Damaged/dirty,"iPhone 12Pro グラファイト 256GB 傷あり 中古品 iPhone 12 Pro グラファイト 256GB 傷あり SIMフリー バッテリー最大容量64% 新品にて購入後、4年ほど使用していました。 機種変更に伴い出品となります。 本体周囲、縁に小傷や目立つ傷が入っている場合があります。(画像4-7枚目参照) 本体の角はいずれも傷があります。(画像8-15枚目参照) またカメラも1番上の広角カメラレンズに傷、割れがあります。(画像16枚目参照) 本体画面の割れはありません。 画面割れ・傷防止のため、使用していたガラスフィルムは貼り付けた状態で梱包いたします。 新品購入時に付属していたC to Lightningケーブルは付属いたしません。 付属品につきましては画像17枚目を参照ください。 本体情報につきましては画像18-20枚目を参照ください。 画像18-20枚目を確認した後に初期化しております。 10/1頃まで使用していましたが、それまではバッテリーの減りは早いものの問題なく使用出来ていたかと思います。 稀に浴室に持ち込み使用した事もございますので、それらによる動作不良や、 経年劣化等による不具合・動作不良が起きる可能性がありますので、 それをご理解いただける方のみご購入ください。 人が長期間使用していたものになりますので、完全なる中古品となります。 そちらを踏まえご納得いただける方のみご購入をお願いいたします。 購入後のクレーム、返品には対応致しかねますのでご了承ください。 即購入可 交渉による値下げ可 希望価格提示ください。 シリーズ···iPhone 機種名···iPhone 12 pro スマートフォン カラー···グラファイト 容量···256GB 購入したキャリア···docomo 購入したキャリア···SIMフリー 付属品···説明書,箱 バッテリー最大容量···79%以下 画面割れ···なし 機能不良···なし",mercari,iPhone 12Pro グラファイト 256GB 傷あり 中古品,iPhone 12Pro 256GB,Apple,iPhone,12,,,256GB,
https://buyee.jp/mercari/item/m20871285690,Apple iPhone 12 red 赤　128GB 箱あり,"19,999 yen",No obvious damages/dirt,Apple iPhone 12 red 赤　128GB 箱あり 鮮やかな赤色のiPhone 12 - モデル: iPhone 12 - 色: 赤 ご覧いただきありがとうございます。 シリーズ···iPhone 機種名···iPhone 12 スマートフォン カラー···レッド 容量···128GB この度iPhone17に変えたため出品いたします。 画面は割れておらず、カメラ側面に傷がございますが特に問題ありません。 また、ご希望であれば箱をお付けいたします。 ※質問等あればお答えいたしますのでお気軽にどうぞどうぞ☺︎,mercari,Apple iPhone 12 red 赤　128GB 箱あり,Apple iPhone 12 red 128GB,Apple,iPhone,12,,,128GB,Red
