link,name,price,condition,explanation,source
https://buyee.jp/mercari/item/m20226577100,UMIDIGI G9C 本体 S76,"8,200 yen",No obvious damages/dirt,UMIDIGI G9C 本体 S76 この商品は送料無料です - ブランド: UMIDIGI - モデル: UMIDIGI G9C - Androidバージョン: 14 - メモリ: 6 GB - ストレージ: 128GB - プロセッサ : G36 ご覧いただきありがとうございます。 シリーズ···その他 機能不良···なし 購入したキャリア···SIMフリー IMEI (製造番号)···353697890124114 ネットワーク利用制限○ SIM ロック解除済み 画面割れ···なし 画面にはほとんどキズがありません。ご了承ください。 動作確認済み、システムは問題なく作動しています。 画面や本体は比較的綺麗な状態ですが、中古品のため「やや傷や汚れあり」としております。 かなり古いモデルであり、全体的に使用感がありますので、ご理解の上ご購入ください。 （商品はプチプチで丁寧に梱包して発送いたします。） 商品状態の詳細は掲載写真にすべて写していますので、必ずご確認の上ご購入ください。 --- ●ご注意事項 @完全な美品をお求めの方は購入をご遠慮ください。 ・ご不明点やご要望がある場合は、購入前にコメントをお願いいたします。 ・商品説明およびプロフィールをご確認・ご納得いただいた上でご購入ください。 ・商品に不備があった場合は、評価前に必ずご連絡ください。最後まで誠意をもって対応いたします。 （※初期不良についてはメーカー対応、発送後の紛失・破損などは配送業者へのご連絡をお願いする場合がございます。）,mercari
https://buyee.jp/mercari/item/m21423444061,AQUOS SENSE 4plus,"9,800 yen",A little damaged/dirty,AQUOS SENSE 4plus - ブランド: AQUOS - カラー:ホワイト 背面にスレ傷が多くあります。 ご覧いただきありがとうございます。 機能不良...なし シリーズ...AQUOS 機種名...AQUOS sense4 plus スマートフォン カラー...ホワイト 容量...128GB 新品 可愛い手帳型カバーをお付けします。,mercari
https://buyee.jp/mercari/item/m70598403422,【美品】iPhone6 スペースグレイ 16GB 97%,"4,800 yen",No obvious damages/dirt,【美品】iPhone6 スペースグレイ 16GB 97% iOS12.5.7 ※SIMフリーではありません au Wi-Fi◎、Apple ID◎、エアドロ◎、外カメ◎、内カメ◎、タッチ感◎、スピーカー◎、マイク◎、イヤホン◎、Touch ID◎、電源ボタン◎、音量ボタン◎、サイレントスイッチ◎、ライト◎、充電◎ ※古い機種の為ジャンク扱い。 モバイル通信、アプリのインストール、 SIMの確認はしておりません。 ※利用制限なし。 アクティベーションロック解除済み。 初期化、アクティベート確認して発送。 ※本体のみ。付属品無し。 ゆうゆうメルカリ便↔︎らくらくメルカリ便変更可能。 18時位までは即日発送。（以降は日によります） ‼️‼️‼️値下げ不可‼️‼️‼️,mercari
https://buyee.jp/mercari/item/m68373135546,【iPhone11 pro】256GB スペースグレイ SIMフリー,"28,200 yen",No obvious damages/dirt,【iPhone11 pro】256GB スペースグレイ SIMフリー 掲載写真はガラスフィルムを貼った状態になりますが、本体に傷は入っておらず、綺麗な状態です。 （気になる方は、フィルムを剥がすことも可能です） 修理歴、バッテリー交換歴どちらもございません。 中身含め本体全て購入時のまま交換しておりません。 カメラ、フェイスID含め問題なく利用可能です。 ※機種変更による出品です。動作に不具合は全くありません。 シリーズ...iPhone 機種名...iPhone 11 Pro スマートフォン カラー...スペースグレイ 容量...256GB 購入したキャリア...SIMフリー 画面割れ...なし 機能不良...なし バッテリー...純正79% あくまでも素人管理であるということをご理解宜しくお願いいたします。 シリーズ···iPhone 機種名···iPhone 11 Pro スマートフォン カラー···スペースグレイ 容量···256GB 機能不良···なし 購入したキャリア···SIMフリー バッテリー最大容量···79%以下 IMEI (製造番号)···353830103729037 画面割れ···なし,mercari
https://buyee.jp/mercari/item/m37729639388,iPhone6s 最大容量77%,"4,800 yen",No obvious damages/dirt,iPhone6s 最大容量77% 機種名...iPhone 6s スマートフォン カラー...ゴールド 容量...16GB SIMロック解除済 カメラ動作確認済 細かい傷はありますが、 綺麗だと思います。 中古のため、ノークレームノーリターンでお願いします。,mercari
https://buyee.jp/mercari/item/m51564172041,Apple iPhone 13 Pro アルパイングリーン バッテリー100%,"65,000 yen",No obvious damages/dirt,Apple iPhone 13 Pro アルパイングリーン バッテリー100% ※最終値下げとさせて頂きます。値引き交渉不可。近日中に、ご購入ない場合、出品取り下げ致します。 ※取り寄せ前から、ケースとフィルムは用意し、届いてすぐに装着しています。 発送の際、安全面も考慮し、装着した状態で発送します。 気になる方は、ご自分で付け替えして下さい。 国内アップルオンライン購入 購入後、promaxに買い替えたあと 何に何回かサブのサブとして立ち上げて違う程度でした 未使用に近いとしていますが 細かいことが気になる方は トラブル防止の為 ご購入はお控え下さい バッテリー100% 修理交換経歴なし その他付属品一式セットになります 簡易包装発送 - モデル: iPhone 13 Pro - 色: アルパイングリーン - 付属品: 充電ケーブル - デザイン: トリプルカメラ - 状態: 未使用に近い ご覧いただきありがとうございます。 シリーズ···iPhone 機種名···iPhone 13 Pro スマートフォン カラー···アルパイングリーン 容量···128GB 機能不良···なし 購入したキャリア···SIMフリー,mercari
https://buyee.jp/mercari/item/m98371244421,iPhone6s ローズゴールド　SIMフリー 32GB,"5,400 yen",No obvious damages/dirt,iPhone6s ローズゴールド　SIMフリー 32GB iPhone6sの準美品✨ 最大容量81% カメラ使えます‼️内カメ、外カメ問題無し。 SIMカードなし　AirDrop○   動作確認◯    Wi-Fi◯ ご検討下さい。　管理番号69 アクティベーションロック解除済みです。 初期化、アクティベート解除済み、残積等無しです。 ゆうゆうメルカリ便にも変更可能です。 発送後商品を速やかに使えるよう、初期設定等はこちらで行った後、発送します。 即購入も大歓迎です‼︎ ※値下げ等は不可です。まとめ買いは2点目から値下げ致します。 シリーズ···iPhone 機種名···iPhone 6s スマートフォン カラー···ローズゴールド 容量···32GB 機能不良···なし,mercari
https://buyee.jp/mercari/item/m63761157886,【背面割れ】 Galaxy Feel2 SC-02L 本体 動作確認済み,"4,980 yen",In bad condition overall,【背面割れ】 Galaxy Feel2 SC-02L 本体 動作確認済み 当店の厳しい15点の動作チェッククリア！ 限定1台！早い者勝ち！ ご褒美や2台目にも最適！ 即購入OK！お早めに！ このたびは、商品を閲覧いただき誠にありがとうございます！ 商品は一点限りで早い者勝ちです！迷っている間に売り切れてしまいますのでお早めにご購入ください！ ご自身用のご褒美、お子様用、2台持ち用などにも如何でしょうか！ こちらの商品は背面が割れています。写真にてご確認ください。 ♢安心のご利用♢ 当店独自の合計15点に及ぶ検査項目における厳しい動作チェックで確認済みです！ また、各種ロックはオフ、ネットワーク利用制限はかかっていないので、今後利用できなくなる事はございません。安心してご利用いただけます(^^) ♢通信について♢ SIMカードを使用せずにWi-Fi環境でも利用可能です！また、こちらのデバイスはSIMフリーの端末なのでさまざまなSIMが利用可能です。ご利用になられる会社の動作確認端末に当機種の記載があることを確認してご利用ください！ ♢商品詳細♢ - ネットワーク利用制限：なし - キャリア：SIMフリー(キャリア版は解除済) - IMEI：写真に記載 - バッテリーの状態：設定から確認できる機種は写真に記載 - SIMサイズ：nano ♢価格について♢ こちらの商品はギリギリの価格で出しているのでお値下げできません。商品は一点限りなので、迷っている間に売れてしまいます！ 写真撮影の際反射で光源が写り込んでいる部分があります。もし追加の写真が欲しい場合はコメント頂ければ追加いたします！ ご質問、ご不明点等ございましたら、コメントにてお申し付けください。24時間以内に返信させていただきます！ 商品番号:S0350 シリーズ···Galaxy 機種名···Galaxy Feel2 スマートフォン カラー···オーロラピンク 容量···32GB 機能不良···あり,mercari
https://buyee.jp/mercari/item/m56935580864,Apple iPhone XR ホワイト 本体,"19,000 yen",A little damaged/dirty,Apple iPhone XR ホワイト 本体 Apple iPhone XR、ホワイト、バッテリー最大容量78%。 - ブランド: Apple - モデル名: iPhone XR - バッテリー最大容量: 78% - カラー: ホワイト ご覧いただきありがとうございます。 シリーズ···iPhone 機種名···iPhone XR スマートフォン カラー···ホワイト 容量···64GB 機能不良···なし 7年間使ってましたが、使う分には支障なく、見た目は写真通りです。 小さな細かな擦り傷があるとはいえ、比較的状態は良いと思います。,mercari
https://buyee.jp/mercari/item/m23589639328,iPhone 12 Pro 256GB シルバー SIMフリー高品質バッテリー,"49,500 yen",No obvious damages/dirt,iPhone 12 Pro 256GB シルバー SIMフリー高品質バッテリー 256GBのシルバーiPhone 12 Pro、SIMフリー、特典付き、アンチグレア保護フィルム&コーティング済み。 - ストレージ: 256 GB - 色: シルバー - モデル: iPhone 12 Pro - SIM: SIMフリー - 特典: 特典付き - 状態: 新品バッテリー - コーティング: コーティング済み ご覧いただきありがとうございます。 シリーズ···iPhone 機種名···iPhone 12 pro スマートフォン カラー···シルバー 容量···256GB 機能不良···なし 【iOS】 26.0.1 【IMEI （製造番号）】 356686112011412 【ネットワーク利用制限の状況】○ 【シリアル番号】 G6TDN2W70D8N 【Face ID】○ 【水没】なし 【付属品】掲載画像にあるもののみ 【新品バッテリー交換済み】 【バッテリー容量】　100% 【防水テープ施工済み】 【ガラスフィルム施工済み】 【ガラスコーティング済み】 【商品状態】 高品質バッテリーに交換済みです 全体的に多少の傷擦れ等あります。 ※商品状態を画像でご確認いただけるよう心掛けておりますが 中古品のため見解の相違がありますことをご了承ください。 ※ご購入後、再度動作確認を行い、出荷状態で発送させていただきます。 ※ iPhoneのシステム上、XR以降はバッテリー交換後、%表示が「ー」になり、エラーと表示されます。高品質・新品バッテリーで交換しておりますのでご安心下さいませ。 「コメント・交渉・やり取り中であっても、購入者の方優先とさせて頂きますのでご了承くださいませ」 「初期不良につきましては、受取評価前にご連絡ください」 「すり替え防止のため、受取評価後は対応致しかねます」 他ご不明点等ございましたら、お気軽にお問い合わせ下さい。,mercari
https://buyee.jp/mercari/item/m34956154400,モトローラ moto g64 5G 8GB/128GB,"23,999 yen",New/Unused,"モトローラ moto g64 5G 8GB/128GB L1319 新品未開封 Motorola(モトローラ)motorolag64｜8GB/128GB｜シルバーブルー｜SIMフリースマホ本体端末｜NFC/FeliCa対応｜正規代理店品｜6.5インチ｜FHD+｜IP52防水防塵｜大容量バッテリー5,000mAh｜PB2G0001JP",mercari
https://buyee.jp/mercari/item/m79113080231,【新品】motorola razr 50s サンドクリーム SIMフリー　本体,"52,500 yen",New/Unused,【新品】motorola razr 50s サンドクリーム SIMフリー　本体 シリーズ···MOTOROLA 機種名···motorola razr 50s スマートフォン カラー···サンドクリーム 容量···256GB 機能不良···なし 一括購入のため、ネットワーク利用制限は⭕️ やっぱりiPhoneを使いたくなり、不要になったためお譲り致します。 らくらくメルカリ便のコンパクトにて発送致します‼︎ 宜しくお願い致します。,mercari
https://buyee.jp/mercari/item/m53046998539,iPhone12 128GB ホワイト,"27,500 yen",No obvious damages/dirt,iPhone12 128GB ホワイト 約1年半使用したiPhone12ホワイトです 初期化前に動作確認済です 電池の最大容量は79%です カバーをつけて使っていたため目立った大きな傷はありませんが、日常使いをしていた程度の細かい傷はご承知の上購入をお願いします 傷や汚れは写真を載せている現物の通りになります 箱と充電ケーブルもセットで 画面フィルタと透明のカバーはつけたまま発送予定です すり替え防止のため、返品は受け付けていません シリーズ···iPhone 機種名···iPhone 12 スマートフォン カラー···ホワイト 容量···128GB,mercari
https://buyee.jp/mercari/item/m10684072467,iPhone6 シルバー 16GB 97%,"4,700 yen",A little damaged/dirty,iPhone6 シルバー 16GB 97% iOS12.5.7 ※SIMフリーではありません docomo Wi-Fi◎、Apple ID◎、エアドロ◎、外カメ◎、内カメ◎、タッチ感◎、スピーカー◎、マイク◎、イヤホン◎、Touch ID◎、電源ボタン◎、音量ボタン◎、サイレントスイッチ◎、ライト◎、充電◎ ※古い機種の為ジャンク扱い。 モバイル通信、アプリのインストール、 SIMの確認はしておりません。 ※利用制限なし。 アクティベーションロック解除済み。 初期化、アクティベート確認して発送。 ※本体のみ。付属品無し。 ゆうゆうメルカリ便↔︎らくらくメルカリ便変更可能。 18時位までは即日発送。（以降は日によります） ‼️‼️‼️値下げ不可‼️‼️‼️,mercari
https://buyee.jp/mercari/item/m64197953542,"Realme Note 70T (Gold, 128GB) スマートフォン本体","11,900 yen",New/Unused,"Realme Note 70T (Gold, 128GB) スマートフォン本体 Realme Note 70T Gold 4GB+128GB （送料込み） 状態: 新品・未開封 購入後、使用しないことになったため出品します。 Amazonでは同じ商品が17000円で販売されています。お得にどうぞ。 パッケージ内容 • Realme Note 70T（Beach Gold, 4GB+128GB）スマートフォン • USB Cケーブル 値下げのご相談は、コメント欄からのみ受け付けております。ご了承ください。 d0brad0",mercari
https://buyee.jp/mercari/item/m92330829941,iPhone 12 mini 64GB ブラック SIMフリーおまけ付き,"24,500 yen",No obvious damages/dirt,iPhone 12 mini 64GB ブラック SIMフリーおまけ付き iPhone 12 mini、64GB、ブラック、SIMフリー、高品質新品バッテリー ご覧いただきありがとうございます。 【機種】iPhone 12mini 【キャリア】SIMフリー 【容量】64GB 【iOS】26.0 【IMEI （製造番号）】 353011112041504 【ネットワーク利用制限の状況】○ 【シリアル番号】 F71DP50W0GQ7 【Face ID】○ 【水没】なし 【付属品】掲載画像にあるもののみ 【新品液晶パネル交換済み】 【新品バッテリー交換済み　容量表示（100%）】 【防水テープ施工済み】 【ガラスフィルム施工済み】 【ガラスコーティング済み】 【商品状態】 高品質バッテリーに交換済みです フレームに傷あり、背面に薄くケース跡が残っております。 ※商品状態を画像でご確認いただけるよう心掛けておりますが 中古品のため見解の相違がありますことをご了承ください。 ※ご購入後、再度動作確認を行い、出荷状態で発送させていただきます。 ※ iPhoneのシステム上、XR以降はバッテリー交換後、%表示が「ー」になり、エラーと表示されます。高品質・新品バッテリーで交換しておりますのでご安心下さいませ。 「コメント・交渉・やり取り中であっても、購入者の方優先とさせて頂きますのでご了承くださいませ」 「初期不良につきましては、受取評価前にご連絡ください」 「すり替え防止のため、受取評価後は対応致しかねます」 他ご不明点等ございましたら、お気軽にお問い合わせ下さい。 シリーズ···iPhone 機種名···iPhone 12 mini スマートフォン カラー···ブラック 容量···64GB 機能不良···なし,mercari
https://buyee.jp/mercari/item/m34349161192,Apple iPhone 16 Pro 256GBブラックチタニウム 本体 箱,"155,000 yen",A little damaged/dirty,Apple iPhone 16 Pro 256GBブラックチタニウム 本体 箱 SIMフリー端末です。 2025年7月に購入しました。 画面に若干の傷はありますが、状態はとても綺麗です。 画面スクラッチは深くなく、使用するときは目立たなくなります。 少し分かりずらいですが、写真3枚目にてご確認下さい。 フィルムは剥がしてある状態です。 フィルムを貼ると擦り傷目立たなくなります。 NIMASO 縦横両対応 360°回転スタンドケース をお付けします。不要でしたらお申し付けください。 またすり替え防止のため返品不可となります。 ご了承ください。 購入したキャリア···SIMフリー 付属品···箱 バッテリー最大容量···100% 画面割れ···なし 機能不良···なし シリーズ···iPhone 機種名···iPhone 16 Pro スマートフォン カラー···ブラックチタニウム 容量···256GB 機能不良···なし,mercari
https://buyee.jp/mercari/item/m70823537322,新品未開封 Galaxy S25 256GB SIMフリー ネイビー 国内版,"109,000 yen",New/Unused,新品未開封 Galaxy S25 256GB SIMフリー ネイビー 国内版 Galaxy S25 256GB SIMフリー 国内版でカラーはネイビーです。 新品未開封、一括購入、支払い済みのため残債なしです - モデル名: Galaxy S25 - ストレージ容量: 256GB - カラー: Navy - 型番: SM-S931Q すり替え防止のため購入後の返品、キャンセルはお受け出来ませんのでご了承ください。 シリーズ...Galaxy 機種名...Galaxy S25 スマートフォン カラー...ネイビー 容量...256GB 購入したキャリア...SIMフリー 機能不良...なし 画面割れ...なし,mercari
https://buyee.jp/mercari/item/m72171842577,Apple iPhone 13 Pro Max グラファイト,"62,000 yen",No obvious damages/dirt,Apple iPhone 13 Pro Max グラファイト ご覧いただきありがとうございます。 目立った傷がない美品となります。 値引きに関しては検討させていただきますのでコメントお願い致します。 グラファイトカラーのiPhone 13 Pro Max、洗練されたデザインと高性能カメラを搭載。 - モデル: iPhone 13 Pro - 色: グラファイト - 状態: 側面にボタンとスピーカーがある ご覧いただきありがとうございます。 シリーズ···iPhone 機種名···iPhone 13 Pro Max スマートフォン カラー···グラファイト 容量···128GB 機能不良···なし バッテリー:82% 付属品は未使用でそろっております。,mercari
https://buyee.jp/mercari/item/m64256039705,iPhone 15 Pro Max｜256gb｜SIMフリー版,"95,000 yen",Damaged/dirty,iPhone 15 Pro Max｜256gb｜SIMフリー版 iPhone 15 Pro Max 256GB ブラックチタニウム（SIMフリーモデル） ■【状態】 ・バッテリー最大容量：85% ・落下により背面にヒビが入っておりますが、動作に問題はありません ・動作確認済み、初期化・iCloudサインアウト済み ■【付属品】 ・外箱・USB-Cケーブル・SIMピン・説明書すべてあり ■【その他】 ・即購入OKです！ ・中古品のため、神経質な方はご遠慮ください。 ・すり替え防止のため、返品不可とさせていただきます。,mercari
https://buyee.jp/mercari/item/m72618575095,SONY Xperia 10 Ⅲブラック SIMフリー SO-52B,"17,700 yen",No obvious damages/dirt,SONY Xperia 10 Ⅲブラック SIMフリー SO-52B 【機種】Xperia 10 Ⅲ 【キャリア】SIMフリー 【本体カラー】 ブラック 【容量】128GB 【OS】バージョン 13 [SIM】 nano 【IMEI(製造番号)】 351977391544693 【ネットワーク利用制限の状況】○ 【モデル名】SO-52B 【Touch ID】 ○ 【水没】なし 【付属品】掲載画像のみ 【バッテリー容量】良好（80%以上） 【ガラスコーティング済み】 【ガラスフィルム施工済み】 【電源ボタン交換済み】 【商品状態】 目立った傷等なく、とても綺麗です。 ※商品状態を画像でご確認いただけるよう心掛けておりますが 古品のため見解の相違がありますことをご了承くださ ※ご購入後、再度動作確認を行い、出荷状態で発送させていただきます。# 「コメント・交渉・やり取り中であっても、購入者の方優先とさせて頂きますのでご了承く ださいませ」 「初期不良につきましては、受取評価前にご連絡ください」や 「すり替え防止のため、受取評価後は対応致しかねます」 他ご不明点等ございましたら、お気軽にお問い合わせ下さい。 機能不良···あり 機能不良···なし,mercari
https://buyee.jp/mercari/item/m57889909194,iPhone16promax 256GB ホワイトチタニウム　バッテリー100%,"168,700 yen",No obvious damages/dirt,iPhone16promax 256GB ホワイトチタニウム　バッテリー100% 閲覧していただき、ありがとうございます。 - モデル: iPhone16promax 256GB -バッテリー最大容量:100% - 色:ホワイトチタニウム - 付属品: 箱、純正充電ケーブル SIMフリー 機能不良···なし 1年程度使用しましたが、保護ケース及びガラスフィルムを貼っていたため目立つような傷はありません。 ご検討よろしくお願いします。,mercari
https://buyee.jp/mercari/item/m83083565170,IQOO NEO 10 PRO+ SIMフリー中国版,"56,000 yen",No obvious damages/dirt,IQOO NEO 10 PRO+ SIMフリー中国版 商品説明（iQOO Neo 10 Pro+ 5G） 使用期間は約2ヶ月です。 バッテリー最大容量は 100% のままで、状態はとても良好です。 本体フレーム部分に 小さな傷があります（写真参照）。 動作には全く問題ありません。 画面には保護フィルムを貼って使用していました。 中国版ですが、Google Play ストア対応で、通常使用に問題ありません。 初期化して発送いたします。 【スペック】 ・モデル：iQOO Neo 10 Pro+ 5G（中国版） ・CPU：Snapdragon 8 Elite Mobile Platform ・RAM/ROM：12GB + 256GB / 16GB + 512GB / 16GB + 1TB （※購入された容量を記載してください） ・ディスプレイ 6.82インチ AMOLED 解像度：3168×1440（2K） リフレッシュレート：144Hz ・バッテリー 6800mAh（typ） 120W SuperVOOC（急速充電） ・カメラ リアカメラ：50MP + 8MP + 8MP フロントカメラ：16MP ・OS OriginOS 5（Android 15 ベース） ・対応 Google Play ストア / OTAアップデート / マルチランゲージ 非対応：eSIM / Android Auto / Google アシスタント 機能不良···なし シリーズ···OPPO シリーズ···その他,mercari
